nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000238	Shannon Tweed	1957	\N	"actress,producer,set_decorator"	"tt0165710,tt0112942,tt0094834,tt0110675"
nm0000239	Liv Tyler	1977	\N	"actress,producer,soundtrack"	"tt0482606,tt0167260,tt0120591,tt0120737"
nm0000240	Skeet Ulrich	1970	\N	"actor,director,producer"	"tt0913354,tt0115963,tt0117571,tt0409572"
nm0000241	Jean-Claude Van Damme	1960	\N	"actor,producer,writer"	"tt0107076,tt0119013,tt0092675,tt0101764"
nm0000242	Mark Wahlberg	1971	\N	"producer,actor,soundtrack"	"tt0964517,tt0118749,tt1637725,tt0407887"
nm0000243	Denzel Washington	1954	\N	"actor,producer,soundtrack"	"tt0139654,tt0168786,tt1037705,tt2671706"
nm0000244	Sigourney Weaver	1949	\N	"actress,soundtrack,producer"	"tt0177789,tt0499549,tt0078748,tt0118583"
nm0000245	Robin Williams	1951	2014	"actor,soundtrack,writer"	"tt0265459,tt0119217,tt0093105,tt0107614"
nm0000246	Bruce Willis	1955	\N	"actor,soundtrack,producer"	"tt0167404,tt0110912,tt0095016,tt0088571"
nm0000247	John Woo	1946	\N	"producer,director,writer"	"tt0104684,tt0119094,tt0425637,tt0092263"
nm0000248	Edward D. Wood Jr.	1924	1978	"writer,director,actor"	"tt0045826,tt0067479,tt0052077,tt0047127"
nm0000249	James Woods	1947	\N	"actor,producer,soundtrack"	"tt0159097,tt0119282,tt0086541,tt0120877"
nm0000250	Renée Zellweger	1969	\N	"actress,soundtrack,producer"	"tt0159365,tt0299658,tt0243155,tt0116695"
nm0000251	Timothy Dowling	1973	\N	"actor,writer,miscellaneous"	"tt1596350,tt0181852,tt2120120,tt1711525"
nm0000252	Robert Ellis	1892	1974	"actor,director,writer"	"tt0010781,tt0023693,tt0030778,tt0006213"
nm0000254	Isabelle Adjani	1955	\N	"actress,soundtrack,producer"	"tt0082933,tt0094828,tt0110963,tt0074811"
nm0000255	Ben Affleck	1972	\N	"producer,actor,writer"	"tt0119217,tt0840361,tt2267998,tt1024648"
nm0000256	Jenny Agutter	1952	\N	"actress,soundtrack"	"tt0848228,tt0082010,tt0099253,tt0074812"
nm0000257	Alan Alda	1936	\N	"actor,miscellaneous,soundtrack"	"tt0082405,tt0068098,tt0116242,tt0097123"
nm0000258	Stephanie Zimbalist	1956	\N	"actress,writer"	"tt3717214,tt0076993,tt0083470,tt0080402"
nm0000259	Ginger Lynn	1962	\N	"actress,director,writer"	"tt0395584,tt0125377,tt0210365,tt0087562"
nm0000260	Joan Allen	1956	\N	"actress,producer,soundtrack"	"tt0115988,tt0120789,tt0452608,tt3170832"
nm0000261	Karen Allen	1951	\N	"actress,director,soundtrack"	"tt0088172,tt0367882,tt0082971,tt0077975"
nm0000262	Nancy Allen	1950	\N	"actress,soundtrack"	"tt0093870,tt0107978,tt0080661,tt0100502"
nm0000263	Kirstie Alley	1951	\N	"actress,producer,writer"	"tt0114852,tt0084726,tt0097778,tt0157503"
nm0000264	Pedro Almodóvar	1949	\N	"writer,director,soundtrack"	"tt0095675,tt0441909,tt1189073,tt0287467"
nm0000265	Robert Altman	1925	2006	"director,producer,writer"	"tt0073440,tt0105151,tt0108122,tt0280707"
nm0000266	Ursula Andress	1936	\N	actress	"tt0061452,tt0060177,tt0055928,tt0082186"
nm0000267	Julie Andrews	1935	\N	"actress,soundtrack,producer"	"tt0247638,tt0058331,tt0059742,tt0084865"
nm0000268	Ann-Margret	1941	\N	"actress,soundtrack"	"tt0066892,tt0073812,tt0107050,tt0056891"
nm0000269	Jean-Jacques Annaud	1943	\N	"director,writer,producer"	"tt2909116,tt0215750,tt0091605,tt0120102"
nm0000270	Gabrielle Anwar	1970	\N	"actress,producer,soundtrack"	"tt0105323,tt0455596,tt0108333,tt0810788"
nm0000271	Anne Archer	1947	\N	"actress,producer,soundtrack"	"tt0160009,tt0108122,tt0105112,tt0093010"
nm0000272	Fanny Ardant	1949	\N	"actress,director,writer"	"tt0086551,tt0127536,tt0283832,tt0401711"
nm0000273	Alan Arkin	1934	\N	"actor,soundtrack,director"	"tt0104348,tt1024648,tt0449059,tt0099487"
nm0000274	David Arquette	1971	\N	"producer,actor,director"	"tt0151738,tt0134084,tt0271367,tt0120082"
nm0000275	Rosanna Arquette	1959	\N	"actress,director,producer"	"tt0088680,tt0190138,tt0110912,tt0089017"
nm0000276	Sean Astin	1971	\N	"actor,producer,director"	"tt0089218,tt0120737,tt0167260,tt0167261"
nm0000277	Richard Attenborough	1923	2014	"actor,producer,director"	"tt0107290,tt0110527,tt0057115,tt0083987"
nm0000278	Pernilla August	1958	\N	"actress,director,writer"	"tt1437366,tt0121765,tt0120915,tt0104350"
nm0000279	Hank Azaria	1964	\N	"actor,soundtrack,producer"	"tt1839481,tt0096697,tt0115685,tt0118617"
nm0000280	Catherine Bach	1954	\N	"actress,soundtrack"	"tt0080213,tt1414382,tt0072288,tt0078607"
nm0000281	Scott Baio	1960	\N	"actor,director,producer"	"tt0367279,tt0281680,tt0070992,tt0270846"
nm0000282	Scott Bairstow	1970	\N	actor	"tt0182587,tt0119925,tt0120512,tt0283084"
nm0000283	Brenda Bakke	1963	\N	actress	"tt0114608,tt0114781,tt0119488,tt0107144"
nm0000284	Adam Baldwin	1962	\N	"actor,soundtrack"	"tt0187393,tt0116629,tt0093058,tt0379786"
nm0000285	Alec Baldwin	1958	\N	"actor,producer,soundtrack"	"tt0104348,tt0407887,tt0318374,tt1230414"
nm0000286	Stephen Baldwin	1966	\N	"actor,producer,director"	"tt0158622,tt0486583,tt0115683,tt0114814"
nm0000287	William Baldwin	1963	\N	"actor,producer,stunts"	"tt0367089,tt0101393,tt0108162,tt0113010"
nm0000288	Christian Bale	1974	\N	"actor,editorial_department,producer"	"tt1800241,tt0372784,tt0468569,tt6266538"
nm0000289	Ellen Barkin	1954	\N	"actress,producer"	"tt0098273,tt0108330,tt0157503,tt0116277"
nm0000290	John Barry	1933	2011	"music_department,soundtrack,composer"	"tt0063227,tt0089755,tt0093428,tt0099348"
nm0000291	Angela Bassett	1958	\N	"actress,producer,director"	"tt2302755,tt1825683,tt0114558,tt0118884"
nm0000292	Michelle Bauer	1958	\N	"actress,miscellaneous,costume_department"	"tt0181017,tt0097703,tt0103213,tt0094998"
nm0000293	Sean Bean	1959	\N	"actor,producer,animation_department"	"tt0944947,tt0120737,tt1617661,tt1181791"
nm0000294	Amanda Bearse	1958	\N	"actress,director,producer"	"tt0247121,tt0092400,tt0089175,tt0338067"
nm0000295	Kate Beckinsale	1973	\N	"actress,soundtrack"	"tt0338751,tt0452702,tt0320691,tt0401855"
nm0000296	Robert Beltran	1953	\N	"actor,soundtrack"	"tt0112178,tt0113987,tt0085862,tt0087799"
nm0000297	Tom Berenger	1949	\N	"actor,producer,writer"	"tt1375666,tt0097815,tt1433108,tt0091763"
nm0000298	Candice Bergen	1946	\N	"actress,producer,soundtrack"	"tt0256415,tt0094514,tt0901476,tt0212346"
nm0000299	Michael Biehn	1956	\N	"actor,producer,director"	"tt0088247,tt0090605,tt0108358,tt1077258"
nm0000300	Juliette Binoche	1964	\N	"actress,art_department,miscellaneous"	"tt0241303,tt0116209,tt1219827,tt0108394"
nm0000301	Thora Birch	1982	\N	"actress,producer,soundtrack"	"tt0162346,tt0105112,tt0107120"
nm0000302	Jacqueline Bisset	1944	\N	"actress,producer"	"tt0071877,tt0062765,tt0061452,tt0088322"
nm0000303	Honor Blackman	1925	\N	"actress,soundtrack"	"tt0057197,tt0058150,tt0243155,tt0054518"
nm0000304	Linda Blair	1959	\N	"actress,soundtrack,producer"	"tt0088044,tt0079822,tt0070047,tt0082511"
nm0000305	Mel Blanc	1908	1989	"actor,soundtrack,music_department"	"tt0094939,tt0078915,tt0096438,tt0077278"
nm0000306	Brian Blessed	1936	\N	"actor,soundtrack,director"	"tt0346491,tt0080745,tt0120855,tt0120915"
nm0000307	Helena Bonham Carter	1966	\N	"actress,soundtrack,producer"	"tt1504320,tt0408236,tt1707386,tt0137523"
nm0000308	Ernest Borgnine	1917	2012	"actor,soundtrack,producer"	"tt0082340,tt0119177,tt0069113,tt0048356"
nm0000309	David Bowie	1947	2016	"soundtrack,actor,composer"	"tt0074851,tt0482571,tt0196229,tt0091369"
nm0000310	Bruce Boxleitner	1950	\N	"actor,producer"	"tt1104001,tt0084827,tt0871427,tt0105946"
nm0000311	Annie Rosar	1888	1963	"actress,soundtrack"	"tt0041552,tt0034800,tt0034396,tt0140410"
nm0000312	Amy Brenneman	1964	\N	"actress,producer,writer"	"tt0116287,tt0113277,tt0411061,tt0209069"
nm0000313	Jeff Bridges	1949	\N	"actor,soundtrack,producer"	"tt1263670,tt2582782,tt1403865,tt0118715"
nm0000314	Charles Bronson	1921	2003	actor	"tt0071402,tt0064116,tt0057115,tt0054047"
nm0000315	Louise Brooks	1906	1985	"actress,soundtrack"	"tt0017382,tt0018737,tt0021917,tt0020475"
nm0000316	Mel Brooks	1926	\N	"actor,writer,soundtrack"	"tt0071230,tt0395251,tt0094012,tt0082517"
nm0000317	Clancy Brown	1959	\N	"actor,soundtrack,producer"	"tt0111161,tt0803096,tt3501632,tt0120201"
nm0000318	Tim Burton	1958	\N	"producer,miscellaneous,director"	"tt0099487,tt0121164,tt1142977,tt0408236"
nm0000319	Yancy Butler	1970	\N	actress	"tt0107076,tt1650554,tt0274298,tt1250777"
nm0000320	Luis Buñuel	1900	1983	"writer,director,actor"	"tt0061395,tt0056732,tt0042804,tt0068361"
nm0000321	Gabriel Byrne	1950	\N	"actor,producer,writer"	"tt0114814,tt0100150,tt0145531,tt0146675"
nm0000322	Emmanuelle Béart	1963	\N	"actress,soundtrack"	"tt0283832,tt0113947,tt0117060,tt0189142"
nm0000323	Michael Caine	1933	\N	"actor,producer,soundtrack"	"tt0482571,tt0468569,tt0124315,tt0258068"
nm0000324	Barbara Carrera	1945	\N	"actress,soundtrack"	"tt0085862,tt0076210,tt0084112,tt0086006"
nm0000325	David Caruso	1956	\N	"actor,producer"	"tt0113552,tt0083944,tt0228750,tt0261983"
nm0000326	Kim Cattrall	1956	\N	"actress,producer,soundtrack"	"tt1000774,tt0159206,tt0102975,tt1261945"
nm0000327	Lacey Chabert	1982	\N	"actress,soundtrack,producer"	"tt0120738,tt0377092,tt0277371,tt0821640"
nm0000328	Richard Chamberlain	1934	\N	"actor,soundtrack,producer"	"tt0072308,tt0076299,tt0080274,tt0085101"
nm0000329	Jackie Chan	1954	\N	"actor,stunts,producer"	"tt0120812,tt0089374,tt0266915,tt0127357"
nm0000330	Stockard Channing	1944	\N	"actress,soundtrack,miscellaneous"	"tt0077631,tt0120791,tt0108149,tt0198021"
nm0000331	Chevy Chase	1943	\N	"actor,writer,soundtrack"	"tt0092086,tt0089155,tt0080487,tt0085995"
nm0000332	Don Cheadle	1964	\N	"actor,producer,soundtrack"	"tt0375679,tt0395169,tt1540133,tt0988047"
nm0000333	Cher	1946	\N	"soundtrack,actress,director"	"tt0086312,tt1126591,tt0100140,tt0093565"
nm0000334	Yun-Fat Chow	1955	\N	"actor,writer,soundtrack"	"tt1098327,tt0473444,tt0120008,tt0190332"
nm0000335	Glenn Close	1947	\N	"actress,soundtrack,producer"	tt0093010
